17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze -  
17:31:08.212 593  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.214 595  [main] INFO  Es3.RegistroPresenze - F
17:31:08.215 596  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.215 596  [main] INFO  Es3.RegistroPresenze - a
17:31:08.220 601  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.220 601  [main] INFO  Es3.RegistroPresenze - n
17:31:08.220 601  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.221 602  [main] INFO  Es3.RegistroPresenze - t
17:31:08.222 603  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.222 603  [main] INFO  Es3.RegistroPresenze - a
17:31:08.222 603  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.223 604  [main] INFO  Es3.RegistroPresenze - s
17:31:08.224 605  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.226 607  [main] INFO  Es3.RegistroPresenze - m
17:31:08.226 607  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.226 607  [main] INFO  Es3.RegistroPresenze - i
17:31:08.226 607  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - n
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - o
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - @
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - case @
17:31:08.227 608  [main] INFO  Es3.RegistroPresenze - 0
17:31:08.228 609  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.228 609  [main] INFO  Es3.RegistroPresenze - #
17:31:08.228 609  [main] INFO  Es3.RegistroPresenze - case @
17:31:08.230 611  [main] ERROR Es3.RegistroPresenze - errore nel switch For input string: ""
17:31:08.231 612  [main] INFO  Es3.RegistroPresenze - M
17:31:08.231 612  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.231 612  [main] INFO  Es3.RegistroPresenze - r
17:31:08.231 612  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.232 613  [main] INFO  Es3.RegistroPresenze - .
17:31:08.232 613  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.232 613  [main] INFO  Es3.RegistroPresenze -  
17:31:08.233 614  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.234 615  [main] INFO  Es3.RegistroPresenze - C
17:31:08.235 616  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.235 616  [main] INFO  Es3.RegistroPresenze - r
17:31:08.236 617  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.236 617  [main] INFO  Es3.RegistroPresenze - a
17:31:08.236 617  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.237 618  [main] INFO  Es3.RegistroPresenze - i
17:31:08.238 619  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.239 620  [main] INFO  Es3.RegistroPresenze - g
17:31:08.239 620  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.239 620  [main] INFO  Es3.RegistroPresenze - @
17:31:08.240 621  [main] INFO  Es3.RegistroPresenze - case @
17:31:08.244 625  [main] INFO  Es3.RegistroPresenze - 1
17:31:08.244 625  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.244 625  [main] INFO  Es3.RegistroPresenze - 0
17:31:08.246 627  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.247 628  [main] INFO  Es3.RegistroPresenze - #
17:31:08.247 628  [main] INFO  Es3.RegistroPresenze - case @
17:31:08.248 629  [main] ERROR Es3.RegistroPresenze - errore nel switch For input string: ""
17:31:08.250 631  [main] INFO  Es3.RegistroPresenze - C
17:31:08.251 632  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.252 633  [main] INFO  Es3.RegistroPresenze - a
17:31:08.255 636  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.256 637  [main] INFO  Es3.RegistroPresenze - v
17:31:08.264 645  [main] INFO  Es3.RegistroPresenze - letter
